Total; tran P X,Total; tran P Y,/w_CLK X,/w_CLK Y,/w_D X,/w_D Y,/A X,/A Y,/B X,/B Y,/C X,/C Y,/D X,/D Y,/Z X,/Z Y
2.508224445315827e-06,0.002998250682923527,2.508224445315827e-06,0,2.508224445315827e-06,3,2.508224445315827e-06,0.03066431307686842,2.508224445315827e-06,0.1666530712701556,2.508224445315827e-06,2.999214489511793,2.508224445315827e-06,2.999306531427254,2.508224445315827e-06,2.375329389309251
2.512839589829731e-06,0.002999237587264872,2.512839589829731e-06,0,2.512839589829731e-06,3,2.512839589829731e-06,0.03066268312739804,2.512839589829731e-06,0.1102894210925112,2.512839589829731e-06,2.999308349374622,2.512839589829731e-06,2.999412039224954,2.512839589829731e-06,2.492873585059657
2.518663178698855e-06,0.00300094065797878,2.518663178698855e-06,0,2.518663178698855e-06,3,2.518663178698855e-06,0.03065919050010403,2.518663178698855e-06,0.07667271197352753,2.518663178698855e-06,2.999407034570587,2.518663178698855e-06,2.999521543808103,2.518663178698855e-06,2.625733810786448
2.524951743045129e-06,0.003002048225290397,2.524951743045129e-06,0,2.524951743045129e-06,3,2.524951743045129e-06,0.03065251339785319,2.524951743045129e-06,0.05944441982283487,2.524951743045129e-06,2.999493290346177,2.524951743045129e-06,2.999618196091461,2.524951743045129e-06,2.743953855594054
2.53171649089705e-06,0.003002360339607541,2.53171649089705e-06,0,2.53171649089705e-06,3,2.53171649089705e-06,0.03064641252826299,2.53171649089705e-06,0.04849413468775655,2.53171649089705e-06,2.999567385596115,2.53171649089705e-06,2.999699481329823,2.53171649089705e-06,2.83959403775076
2.539408248996257e-06,0.003002023102814355,2.539408248996257e-06,0,2.539408248996257e-06,3,2.539408248996257e-06,0.03063755958125165,2.539408248996257e-06,0.04088808373795744,2.539408248996257e-06,2.999635087914941,2.539408248996257e-06,2.999773367369621,2.539408248996257e-06,2.912912193479825
2.549241111533979e-06,0.003001041071711663,2.549241111533979e-06,0,2.549241111533979e-06,3,2.549241111533979e-06,0.03062926284283247,2.549241111533979e-06,0.03584001797571805,2.549241111533979e-06,2.999701447265683,2.549241111533979e-06,2.999842464175704,2.549241111533979e-06,2.965990336254766
2.559401581515892e-06,0.002999823474139469,2.559401581515892e-06,0,2.559401581515892e-06,3,2.559401581515892e-06,0.03062112458233085,2.559401581515892e-06,0.0336766974064712,2.559401581515892e-06,2.999754363193959,2.559401581515892e-06,2.99989578208407,2.559401581515892e-06,2.991028951247789
2.570734205265575e-06,0.002998460029695662,2.570734205265575e-06,0,2.570734205265575e-06,3,2.570734205265575e-06,0.030614806835883,2.570734205265575e-06,0.03269014882123686,2.570734205265575e-06,2.999799172960895,2.570734205265575e-06,2.999938444537207,2.570734205265575e-06,3.001414251599363
2.586374167914497e-06,0.002996790136131597,2.586374167914497e-06,0,2.586374167914497e-06,3,2.586374167914497e-06,0.03060794599069584,2.586374167914497e-06,0.03208307326580811,2.586374167914497e-06,2.999845616768165,2.586374167914497e-06,2.999979425347883,2.586374167914497e-06,3.004725600490791
2.60942986877489e-06,0.002994891251544129,2.60942986877489e-06,0,2.60942986877489e-06,3,2.60942986877489e-06,0.03060171250630495,2.60942986877489e-06,0.03167206510827208,2.60942986877489e-06,2.999891910034169,2.60942986877489e-06,3.000015958403339,2.60942986877489e-06,3.003799764090967
